Ticker,Signal_sco,수익률(%),당일등락률(%),시가,고가,저가,종가,거래량,거래대금,HighVol,NewSig,is_lime,is_green,is_red,RSI14,MA5,MA10,MA20,MA60,MA120,정배열값(jung),HLd99,HLv99,HLv71,HLv7,Stoch_K3,Stoch_K2,ATR5,ATR60,Norm_sco,Norm_rtn,Final_score
RCL,-3.0,-5.066501685674596,0.38058202081243664,276.2900085449219,281.32000732421875,273.30999755859375,276.94000244140625,1827600.0,506135548.46191406,False,🆕LIME,True,False,False,45.175680432207635,275.1000061035156,272.95,273.56399993896486,295.3969975789388,287.0242496490479,,1,1.0,1.0,1.0,36.23197524826244,40.54126598416025,15.4840087890625,14.450502522786458,0.32142857142857145,0.3135744334350739,32.02504507295468
GIL,-3.0,-8.219613245873337,0.784110067477406,57.599998474121094,58.08000183105469,57.27000045776367,57.84000015258789,1059700.0,61293048.16169739,False,-,False,False,False,32.966591703362624,56.373999786376956,55.60800018310547,56.54549999237061,63.834500567118326,61.791083590189615,,0,-1.0,1.0,1.0,22.85385617111561,58.95649122644841,1.6580009460449219,1.957832972208659,0.32142857142857145,0.29781909952722224,31.788715064336905
MDT,-3.0,-9.55195940611311,-0.7962740854013051,88.3499984741211,88.3499984741211,87.06999969482422,87.20999908447266,8277500.0,721880767.4217224,False,-,False,False,False,35.99662260436726,87.29400024414062,86.86899948120117,87.10299987792969,94.49699974060059,95.93749968210857,,-1,-1.0,1.0,-1.0,27.99046028949727,56.66023128075831,1.58800048828125,2.034166463216146,0.32142857142857145,0.2911616888284081,31.688853903854692
AMR,-2.75,-19.95675999806886,3.9524878211874226,186.10000610351562,197.38999938964844,186.10000610351562,192.52000427246094,165300.0,31823556.706237793,False,-,False,False,True,57.215849562002795,197.76800231933595,203.9250015258789,202.29850082397462,199.32866694132488,190.309250386556,,0,-2.0,-1.0,1.0,53.59297486108225,21.865782468571847,12.751998901367188,11.312333170572916,0.33035714285714285,0.239171423199956,31.667928490856482
HD,-3.0,-11.165532992802563,-0.65963552710675,341.0400085449219,341.2300109863281,335.80999755859375,337.3399963378906,3208300.0,1082287910.2508545,False,-,False,False,False,37.46458768503182,331.6999938964844,328.372998046875,330.47049713134766,361.0259979248047,361.1413319905599,,0,-2.0,1.0,-1.0,27.307665051080967,65.76849019072803,11.329998779296876,9.136834208170573,0.32142857142857145,0.2830990528709351,31.5679143644926
FUBO,-1.75,-62.06225761550994,-2.8239215420691965,11.989999771118164,12.4399995803833,11.699999809265137,11.699999809265137,1300200.0,15212339.75200653,True,-,False,False,False,27.469126836597443,12.063999938964844,10.66899995803833,11.791000032424927,17.382333262761435,27.392166622479756,,0,-1.0,1.0,-1.0,34.255722528441815,65.80816878863956,1.5301996231079102,1.326433261235555,0.36607142857142855,0.028780461239439815,31.547778347163025
OUST,-2.75,-23.6812981621349,3.295056539125074,20.34000015258789,21.139999389648438,20.299999237060547,20.690000534057617,1246700.0,25794223.66580963,False,-,False,False,False,45.948023102763564,19.92400016784668,19.03900012969971,19.883999824523926,20.954833221435546,23.18141665458679,,0,-1.0,1.0,-1.0,30.908917568418666,66.25366529500648,1.3990001678466797,1.7188666343688965,0.33035714285714285,0.22056080911064715,31.38876927951685
BILI,-3.0,-24.33120854288099,-0.0420707980195667,23.639999389648438,23.90999984741211,23.5,23.760000228881836,1339100.0,31817016.306495667,False,-,False,False,False,37.15921675872261,23.584000396728516,23.04400005340576,23.845000171661376,28.21400000254313,27.57708331743876,,0,-1.0,1.0,1.0,26.435258477133925,64.39381915716028,0.8679996490478515,1.1975333213806152,0.32142857142857145,0.21731336452667302,30.58112903932867
GD,-3.5,-7.748415866318725,-2.544344331286552,342.30999755859375,342.9800109863281,332.760009765625,335.1499938964844,1695100.0,568112754.6539307,False,-,False,False,True,45.4820860931813,345.7779968261719,345.92799987792966,348.5799987792969,353.8451665242513,348.51025009155273,,-2,-2.0,-1.0,1.0,32.174830879008915,47.76074062644473,7.3,8.335002136230468,0.30357142857142855,0.300173558578116,30.306174807243167
OI,-3.0,-31.46496586240739,0.560751595198572,10.859999656677246,11.020000457763672,10.670000076293945,10.760000228881836,926300.0,9966988.212013245,False,-,False,False,False,36.17436588391737,10.552000045776367,10.467000007629395,10.47249994277954,13.16233328183492,13.44558330376943,,0,-1.0,1.0,-1.0,32.06745774188403,55.43574044531052,0.3540000915527344,0.5265000820159912,0.32142857142857145,0.18166770897630768,30.04644420607319
USAR,-3.75,-3.1193788565313407,-3.409089223879047,17.170000076293945,18.149999618530273,16.1200008392334,16.149999618530273,12631500.0,203998720.18146515,False,-,False,False,False,41.20705209510261,15.913999938964844,15.507499980926514,16.63924984931946,19.34650003115336,18.018000030517577,,0,-1.0,1.0,1.0,21.066332627773434,55.06828903799874,1.5359996795654296,2.1365166028340656,0.29464285714285715,0.32330373407891766,29.894198868326622
DNLI,-4.0,6.184422386184685,-0.31104909509215295,19.40999984741211,19.6299991607666,18.959999084472656,19.229999542236328,1127300.0,21677978.483963013,False,-,False,False,False,48.04289826288972,19.386000061035155,19.270000076293947,19.939749908447265,20.238750171661376,18.71004175345103,,-1,-1.0,1.0,1.0,24.75479501236922,32.62904680267818,0.93800048828125,1.2448665301005046,0.2857142857142857,0.36979257292673723,29.832602879615344
ARKW,-3.5,-19.007939455817592,0.800264057047384,123.47000122070312,123.87999725341797,121.73999786376953,123.44000244140625,62000.0,7653280.1513671875,False,-,False,False,False,43.711216491758,123.09000091552734,120.91299972534179,123.56549987792968,129.10624987284342,143.499124844869,,0,-1.0,1.0,-1.0,38.6933583445635,61.44694546074859,3.838002014160156,4.192882664998373,0.30357142857142855,0.24391244938199674,29.46225816930138
