date,scenario,ticker,name,bucket,rank,target_weight,close,signal_sco,final_score,trend,mtype
2026-06-11,s3,IJR,IJR,us,2,0.045,140.2899932861328,11.0,0.882997,,NASDAQ
2026-06-11,s1,VNQ,VNQ,us,3,0.05,98.13999938964844,11.75,0.864157,,NASDAQ
2026-06-11,s3,VNQ,VNQ,us,3,0.0375,98.13999938964844,11.75,0.864157,,NASDAQ
2026-06-12,s1,XLV,XLV,us,1,0.09,154.08999633789062,13.25,0.890853,,NASDAQ
2026-06-12,s3,XLV,XLV,us,1,0.081,154.08999633789062,13.25,0.890853,,NASDAQ
2026-06-12,s1,IJR,IJR,us,1,0.07,143.03880310058594,13.0,0.885508,,NASDAQ
2026-06-12,s3,IJR,IJR,us,1,0.063,143.03880310058594,13.0,0.885508,,NASDAQ
2026-06-12,s1,XLRE,XLRE,us,2,0.072,45.25,15.0,0.874083,,NASDAQ
2026-06-12,s3,XLRE,XLRE,us,2,0.054,45.25,15.0,0.874083,,NASDAQ
2026-06-12,s1,VNQ,VNQ,us,3,0.055,98.30999755859375,14.5,0.864222,,NASDAQ
2026-06-12,s3,VNQ,VNQ,us,3,0.045,98.30999755859375,14.5,0.864222,,NASDAQ
2026-06-12,s1,VTV,VTV,us,4,0.02,215.8489990234375,13.0,0.841531,,NASDAQ
2026-06-12,s3,VTV,VTV,us,4,0.018,215.8489990234375,13.0,0.841531,,NASDAQ
2026-06-13,s1,IJR,IJR,us,1,0.063752,143.6699981689453,13.0,0.885748,,NASDAQ
2026-06-13,s3,IJR,IJR,us,1,0.0693,143.6699981689453,13.0,0.885748,,NASDAQ
2026-06-13,s1,XLRE,XLRE,us,2,0.065887,45.36000061035156,15.0,0.871952,,NASDAQ
2026-06-13,s3,XLRE,XLRE,us,2,0.0567,45.36000061035156,15.0,0.871952,,NASDAQ
2026-06-13,s1,VNQ,VNQ,us,3,0.044738,98.51000213623047,14.5,0.861337,,NASDAQ
2026-06-13,s3,VNQ,VNQ,us,3,0.042,98.51000213623047,14.5,0.861337,,NASDAQ
2026-06-13,s1,VTV,VTV,us,4,0.020336,217.08999633789062,13.0,0.845494,,NASDAQ
2026-06-13,s3,VTV,VTV,us,4,0.021,217.08999633789062,13.0,0.845494,,NASDAQ
2026-06-13,s1,RSP,RSP,us,5,0.020336,211.64999389648438,11.0,0.802715,,NASDAQ
2026-06-13,s3,RSP,RSP,us,5,0.021,211.64999389648438,11.0,0.802715,,NASDAQ
2026-06-14,s1,IJR,IJR,us,1,0.063752,143.6699981689453,13.0,0.885748,,NASDAQ
