date,Worst,Neutral,Recovery,HotVeryHot,total_universe,avg_sco,avg_3m,Other,Worst_pct,Neutral_pct,Recovery_pct,HotVeryHot_pct,Other_pct,cell_<0__<0%,cell_<0__0~15%,cell_<0__15~30%,cell_<0__30%+,cell_0~7__<0%,cell_0~7__0~15%,cell_0~7__15~30%,cell_0~7__30%+,cell_8~10__<0%,cell_8~10__0~15%,cell_8~10__15~30%,cell_8~10__30%+,cell_11+__<0%,cell_11+__0~15%,cell_11+__15~30%,cell_11+__30%+,QQQ_close,SPY_close,sco_strong,sco_mid,sco_weak,sco_neg,regime_raw_avg,regime_map_score,strong_zone_cnt,risk_zone_cnt,worst_zone_cnt,regime_state
2026-03-18,42,7,9,2,134,-1.33,8.7,74,31.34,5.22,6.72,1.49,55.22,,,,,,,,,,,,,,,,,594.15,,2.0,1.0,33.0,98.0,0.0,0.0,0.0,0.0,0.0,
2026-03-19,38,9,9,2,134,-1.13,8.47,76,28.36,6.72,6.72,1.49,56.72,,,,,,,,,,,,,,,,,592.27,,2.0,1.0,37.0,94.0,0.0,0.0,0.0,0.0,0.0,
2026-03-20,52,9,9,2,134,-1.28,6.94,62,38.81,6.72,6.72,1.49,46.27,,,,,,,,,,,,,,,,,581.33,,2.0,1.0,34.0,97.0,0.0,0.0,0.0,0.0,0.0,
2026-03-23,49,10,7,1,134,-1.69,6.46,67,36.57,7.46,5.22,0.75,50.0,,,,,,,,,,,,,,,,,588.0,,2.0,1.0,31.0,100.0,0.0,0.0,0.0,0.0,0.0,
2026-03-24,53,8,4,1,134,-2.13,6.47,68,39.55,5.97,2.99,0.75,50.75,,,,,,,,,,,,,,,,,583.98,,2.0,1.0,27.0,104.0,0.0,0.0,0.0,0.0,0.0,
2026-03-25,50,7,5,1,134,-2.21,7.35,71,37.31,5.22,3.73,0.75,52.99,,,,,,,,,,,,,,,,,587.82,,2.0,0.0,23.0,109.0,0.0,0.0,0.0,0.0,0.0,
2026-03-26,61,14,3,1,134,-2.26,5.45,55,45.52,10.45,2.24,0.75,41.04,,,,,,,,,,,,,,,,,573.79,,2.0,0.0,27.0,105.0,0.0,0.0,0.0,0.0,0.0,
2026-03-27,61,14,6,1,134,-2.25,4.1,52,45.52,10.45,4.48,0.75,38.81,,,,,,,,,,,,,,,,,562.58,,2.0,0.0,36.0,96.0,0.0,0.0,0.0,0.0,0.0,
2026-03-29,71,13,4,2,138,-4.26,3.54,48,51.45,9.42,2.9,1.45,34.78,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,
2026-03-30,65,13,6,1,134,-2.31,2.3,49,48.51,9.7,4.48,0.75,36.57,,,,,,,,,,,,,,,,,558.28,,2.0,1.0,34.0,97.0,0.0,0.0,0.0,0.0,0.0,
