date,account,total_asset,kr_total_asset,kr_stock_eval,kr_cash,us_stock_krw,usd_cash_krw,fx_other_krw,us_aset_evlt_raw,kr_realized_pl,us_realized_pl_krw,usdkrw,ext_flow,ext_flow_auto,cash_in,cash_out,sec_in,sec_out,flow_src,note,src_updated
2026-08-21,1887,36964979,8693282,0,8165793,28062071,209626,0,36404666,0,0,1393,,0,0,0,0,0,kt00016,,2026-08-21 21:05:12
2026-08-21,1943,19829489,9623352,7105105,2519307,6291222,3914915,0,12717326,0,0,1393,,0,0,0,0,0,kt00016,,2026-08-21 21:05:37
2026-08-21,2773,6523174,1327049,0,1098237,2158396,3037729,0,6289098,0,0,1393,,0,0,0,0,0,kt00016,,2026-08-21 21:05:24
2026-08-21,8042,45080531,19543021,3267425,9671114,15109408,4213337,6214765,35189127,0,0,1393,,0,0,0,0,0,kt00016,,2026-08-21 21:05:17
2026-08-21,8458,19822055,9629291,7395985,2234406,6291222,3901542,0,12419052,0,0,1393,,0,0,0,0,0,kt00016,,2026-08-21 21:05:29
2026-08-21,BINANCE,2315615,0,2315615,0,0,0,0,0,0,0,1373,,,,,,,,,2026-08-21 20:55:03
2026-08-21,UPBIT,4128367,0,4128366,1,0,0,0,0,0,0,1373,,,,,,,,,2026-08-21 20:55:03
2026-08-22,1887,36704325,8693282,0,8165793,24053489,3957554,0,36272193,0,0,1393,,0,0,0,0,0,kt00016,,2026-08-22 09:10:06
2026-08-22,1943,19818548,9623352,7105105,2519307,6280281,3914915,0,12739399,0,0,1393,,0,0,0,0,0,kt00016,,2026-08-22 09:10:32
2026-08-22,2773,6563667,1327049,0,1098237,1390399,3846219,0,6340367,0,0,1393,,0,0,0,0,0,kt00016,,2026-08-22 09:10:18
2026-08-22,8042,45053469,19543021,3267425,9671114,15082346,4213337,6214765,35241348,0,0,1393,,0,0,0,0,0,kt00016,,2026-08-22 09:10:11
2026-08-22,8458,19811114,9629291,7395985,2234406,6280281,3901542,0,12441125,0,0,1393,,0,0,0,0,0,kt00016,,2026-08-22 09:10:23
2026-08-22,BINANCE,2466724,0,2466724,0,0,0,0,0,0,0,1373,,,,,,,,,2026-08-22 08:59:15
2026-08-22,UPBIT,4225752,0,4163904,61849,0,0,0,0,0,0,1373,,,,,,,,,2026-08-22 08:59:15
2026-08-23,1887,36704325,8693282,0,8165793,24053489,3957554,0,36272193,0,0,1393,,0,0,0,0,0,kt00016,,2026-08-23 12:32:09
2026-08-23,1943,19818548,9623352,7105105,2519307,6280281,3914915,0,12739399,0,0,1393,,0,0,0,0,0,kt00016,,2026-08-23 12:32:35
2026-08-23,2773,6563667,1327049,0,1098237,1390399,3846219,0,6340367,0,0,1393,,0,0,0,0,0,kt00016,,2026-08-23 12:32:21
2026-08-23,8042,45053469,19543021,3267425,9671114,15082346,4213337,6214765,35241348,0,0,1393,,0,0,0,0,0,kt00016,,2026-08-23 12:32:14
2026-08-23,8458,19811114,9629291,7395985,2234406,6280281,3901542,0,12441125,0,0,1393,,0,0,0,0,0,kt00016,,2026-08-23 12:32:27
2026-08-23,BINANCE,2469597,0,2469597,0,0,0,0,0,0,0,1375,,,,,,,,,2026-08-23 12:21:12
2026-08-23,UPBIT,4143159,0,4011270,131889,0,0,0,0,0,0,1375,,,,,,,,,2026-08-23 12:21:12
2026-08-24,1887,36513787,8703392,890100,8693282,23879553,3930842,0,36432816,0,0,1384,,0,0,0,0,0,kt00016,,2026-08-24 17:25:47
2026-08-24,1943,19603972,9435827,8770295,2519307,2945828,7222317,0,12679172,0,-26407,1384,,0,0,0,0,0,kt00016,,2026-08-24 17:26:07
2026-08-24,2773,6525121,1327049,0,1327049,1377808,3820264,0,6521248,0,0,1384,,0,0,0,0,0,kt00016,,2026-08-24 17:25:57
2026-08-24,8042,44856316,19412120,8715125,16276076,10104108,9188689,6151399,41691871,20892,-71400,1384,,0,0,0,0,0,kt00016,,2026-08-24 17:25:51
2026-08-24,8458,19609322,9454681,8770295,2234406,2945828,7208813,0,12380767,0,-26656,1384,,0,0,0,0,0,kt00016,,2026-08-24 17:26:01
2026-08-25,1887,36463965,8726859,0,8693282,22038775,5698331,0,36374672,33567,69365,1381,,0,0,0,0,0,kt00016,,2026-08-25 15:45:22
