date,ticker,industry,rank,close,sco,trend,위치,raw_mult,floor_mult,base_w,internal_w,alloc_pct,alloc_amount,atr_excluded,vol63,atr_stage_val,k_mult,kospi_trend,last_trend
2022-10-27,305720,이차전,1,21123.0,12.25,GREEN,1,0.6,0.4,1.0,1.0,0.6,60000000,False,31.4072,0,0.6,GREEN,GREEN
2022-10-28,305720,이차전,1,21227.0,13.5,GREEN,1,0.6,0.5,1.0,1.0,0.6,60000000,False,31.408,0,0.6,GREEN,GREEN
2022-10-31,305720,이차전,1,21385.0,13.75,GREEN,1,0.6,0.5,1.0,1.0,0.6,60000000,False,31.3994,0,0.6,GREEN,GREEN
2022-11-01,305720,이차전,1,22029.0,14.0,GREEN,1,0.6,0.55,1.0,1.0,0.6,60000000,False,31.1652,0,0.6,GREEN,GREEN
2022-11-02,305720,이차전,1,21538.0,14.5,GREEN,1,0.6,0.55,1.0,1.0,0.6,60000000,False,31.5716,0,0.6,GREEN,GREEN
2022-11-03,305720,이차전,1,22128.0,15.0,GREEN,1,0.6,0.6,1.0,1.0,0.6,60000000,False,31.7212,0,0.6,GREEN,GREEN
2022-11-04,305720,이차전,1,21870.0,15.5,GREEN,1,0.6,0.6,1.0,1.0,0.6,60000000,False,31.73,0,0.6,GREEN,GREEN
2022-11-07,305720,이차전,1,21960.0,16.0,GREEN,1,0.7,0.6,1.0,1.0,0.7,70000000,False,31.3461,0,0.7,GREEN,GREEN
2022-11-08,305720,이차전,1,21860.0,14.25,GREEN,2,0.7,0.5,0.55,0.55,0.385,38500000,False,31.3732,0,0.7,GREEN,GREEN
2022-11-08,117700,건설주,2,2849.0,11.0,GREEN,1,0.7,0.35,0.45,0.45,0.315,31499999,False,32.6186,0,0.7,GREEN,GREEN
2022-11-09,305720,이차전,1,22104.0,14.0,GREEN,1,0.7,0.55,0.45,0.45,0.315,31499999,False,31.3631,0,0.7,GREEN,GREEN
2022-11-09,195930,유로스,2,12930.0,12.0,GREEN,1,0.7,0.4,0.3,0.3,0.21,21000000,False,26.0262,0,0.7,GREEN,GREEN
2022-11-09,117700,건설주,3,2873.0,11.0,GREEN,1,0.7,0.35,0.25,0.25,0.175,17500000,False,32.4673,0,0.7,GREEN,GREEN
2022-11-10,195930,유로스,1,12885.0,13.5,GREEN,1,0.7,0.5,0.45,0.45,0.315,31499999,False,26.0301,0,0.7,GREEN,GREEN
2022-11-10,305720,이차전,2,21999.0,13.25,LIME,1,0.7,0.5,0.3,0.3,0.21,21000000,False,31.3665,0,0.7,GREEN,GREEN
2022-11-10,117700,건설주,3,2868.0,11.0,GREEN,1,0.7,0.35,0.25,0.25,0.175,17500000,False,32.3936,0,0.7,GREEN,GREEN
2022-11-11,195930,유로스,1,13469.0,14.0,GREEN,1,0.7,0.55,0.45,0.45,0.315,31499999,False,27.551,0,0.7,GREEN,GREEN
2022-11-11,305720,이차전,2,22524.0,13.25,LIME,1,0.7,0.5,0.3,0.3,0.21,21000000,False,31.4652,0,0.7,GREEN,GREEN
2022-11-11,117700,건설주,3,2955.0,11.5,GREEN,1,0.7,0.35,0.25,0.25,0.175,17500000,False,32.7635,0,0.7,GREEN,GREEN
2022-11-14,305720,이차전,1,22797.0,15.0,LIME,1,0.7,0.6,0.45,0.45,0.315,31499999,False,31.5195,0,0.7,GREEN,GREEN
2022-11-14,195930,유로스,2,13449.0,14.5,GREEN,1,0.7,0.55,0.3,0.3,0.21,21000000,False,27.4946,0,0.7,GREEN,GREEN
2022-11-14,117700,건설주,3,2994.0,12.0,GREEN,1,0.7,0.4,0.25,0.25,0.175,17500000,False,32.615,0,0.7,GREEN,GREEN
2022-11-15,305720,이차전,1,22564.0,15.25,LIME,1,0.7,0.6,0.45,0.45,0.315,31499999,False,31.4587,0,0.7,GREEN,GREEN
2022-11-15,195930,유로스,2,13539.0,14.75,GREEN,1,0.7,0.55,0.3,0.3,0.21,21000000,False,27.3216,0,0.7,GREEN,GREEN
2022-11-15,117700,건설주,3,3014.0,12.5,GREEN,1,0.7,0.4,0.25,0.25,0.175,17500000,False,32.5047,0,0.7,GREEN,GREEN
2022-11-16,305720,이차전,1,22232.0,15.0,-,2,0.7,0.55,0.45,0.45,0.315,31499999,False,31.5715,0,0.7,GREEN,GREEN
2022-11-16,195930,유로스,2,13544.0,15.0,GREEN,1,0.7,0.6,0.3,0.3,0.21,21000000,False,27.3081,0,0.7,GREEN,GREEN
2022-11-16,117700,건설주,3,2989.0,13.5,GREEN,1,0.7,0.5,0.25,0.25,0.175,17500000,False,32.1288,0,0.7,GREEN,GREEN
2022-11-17,195930,유로스,1,13444.0,14.25,GREEN,2,0.6,0.5,0.45,0.455696,0.273418,27341772,False,27.2501,0,0.6,GREEN,GREEN
2022-11-17,117700,건설주,2,2926.0,13.0,GREEN,2,0.6,0.45,0.3,0.303797,0.182278,18227848,False,32.2402,0,0.6,GREEN,GREEN
2022-11-17,305720,이차전,3,21850.0,11.75,-,3,0.6,0.3,0.25,0.240506,0.144304,14430379,False,31.7381,1,0.6,GREEN,GREEN
2022-11-18,195930,유로스,1,13534.0,14.25,GREEN,1,0.55,0.55,0.55,0.56266,0.309463,30946291,False,27.2583,0,0.5,GREEN,GREEN
2022-11-18,117700,건설주,2,2907.0,11.0,GREEN,3,0.5,0.3,0.45,0.43734,0.21867,21867007,False,32.2527,1,0.5,GREEN,GREEN
2022-11-21,195930,유로스,1,13583.0,14.25,GREEN,1,0.55,0.55,1.0,1.0,0.55,55000000,False,27.0401,0,0.2,-,GREEN
2022-11-22,195930,유로스,1,13613.0,14.25,GREEN,1,0.55,0.55,1.0,1.0,0.55,55000000,False,27.0414,0,0.2,-,-
2022-11-23,195930,유로스,1,13663.0,15.0,GREEN,1,0.6,0.6,0.55,0.537275,0.322365,32236503,False,26.8224,0,0.2,-,-
2022-11-23,241180,니케이,2,15564.0,11.25,GREEN,1,0.35,0.35,0.45,0.462725,0.161954,16195372,False,21.1498,0,0.2,-,-
2022-11-24,195930,유로스,1,13678.0,15.0,GREEN,1,0.6,0.6,0.55,0.537275,0.322365,32236503,False,26.4377,0,0.3,-,-
2022-11-24,241180,니케이,2,15592.0,13.0,GREEN,1,0.5,0.5,0.45,0.462725,0.231362,23136246,False,21.0668,0,0.3,-,-
2022-11-25,195930,유로스,1,13733.0,15.0,GREEN,1,0.6,0.6,0.45,0.455696,0.273418,27341772,False,26.4394,0,0.2,-,-
2022-11-25,241180,니케이,2,15511.0,14.25,GREEN,1,0.55,0.55,0.3,0.303797,0.167089,16708860,False,21.0883,0,0.2,-,-
2022-11-25,117680,철강주,3,7728.0,11.75,LIME,1,0.35,0.35,0.25,0.240506,0.084177,8417721,False,30.4323,0,0.2,-,-
