date,ticker,industry,rank,close,sco,trend,위치,mtype,raw_mult,base_w,alloc_pct,k_mult,us_mult,kospi_trend,nasdaq_trend
2023-07-21,229200,코스닥,2,14912.0,16.0,LIME,1,KOSPI,1.0,0.25,0.25,1.0,0.4,LIME,-
2023-07-21,449180,에센피,3,10688.0,16.0,GREEN,1,NASDAQ,0.6,0.16,0.096,1.0,0.4,LIME,-
2023-07-21,VIG,VIG,4,157.8482208251953,16.0,LIME,1,NASDAQ,0.6,0.1,0.06,1.0,0.4,LIME,-
2023-07-21,INDA,INDA,5,44.04137420654297,15.0,-,2,NASDAQ,0.55,0.1,0.055,1.0,0.4,LIME,-
2023-07-21,449190,나스닥,6,12440.0,14.5,-,2,NASDAQ,0.5,0.08,0.04,1.0,0.4,LIME,-
2023-07-24,GREK,GREK,1,35.792877197265625,16.0,LIME,1,NASDAQ,0.6,0.31,0.186,1.0,0.4,LIME,-
2023-07-24,229200,코스닥,2,15076.0,16.0,LIME,1,KOSPI,1.0,0.25,0.25,1.0,0.4,LIME,-
2023-07-24,305720,이차전,3,34361.0,15.5,LIME,1,KOSPI,1.0,0.16,0.16,1.0,0.4,LIME,-
2023-07-24,117700,건설주,4,3813.0,16.0,LIME,1,KOSPI,1.0,0.1,0.1,1.0,0.4,LIME,-
2023-07-24,117460,에너지,5,20011.0,15.5,LIME,1,KOSPI,1.0,0.1,0.1,1.0,0.4,LIME,-
2023-07-24,VIG,VIG,6,158.53363037109375,16.0,LIME,1,NASDAQ,0.6,0.08,0.048,1.0,0.4,LIME,-
2023-07-25,229200,코스닥,1,15549.0,16.0,LIME,1,KOSPI,1.0,0.31,0.31,1.0,0.4,LIME,-
2023-07-25,305720,이차전,2,36008.0,15.75,LIME,1,KOSPI,1.0,0.25,0.25,1.0,0.4,LIME,-
2023-07-25,GREK,GREK,3,35.84712219238281,15.75,LIME,1,NASDAQ,0.6,0.16,0.096,1.0,0.4,LIME,-
2023-07-25,117700,건설주,4,3964.0,16.0,LIME,1,KOSPI,1.0,0.1,0.1,1.0,0.4,LIME,-
2023-07-25,117460,에너지,5,20703.0,15.75,LIME,1,KOSPI,1.0,0.1,0.1,1.0,0.4,LIME,-
2023-07-25,VIG,VIG,6,158.93345642089844,16.0,LIME,1,NASDAQ,0.6,0.08,0.048,1.0,0.4,LIME,-
2023-07-26,305720,이차전,1,35051.0,16.0,LIME,1,KOSPI,1.0,0.31,0.31,1.0,0.4,LIME,-
2023-07-26,GREK,GREK,2,36.154518127441406,15.75,LIME,1,NASDAQ,0.6,0.25,0.15,1.0,0.4,LIME,-
2023-07-26,VNM,VNM,3,13.794732093811035,16.0,LIME,1,NASDAQ,0.6,0.16,0.096,1.0,0.4,LIME,-
2023-07-26,EWZ,EWZ,4,28.90900611877441,15.75,LIME,1,NASDAQ,0.6,0.1,0.06,1.0,0.4,LIME,-
2023-07-26,117460,에너지,5,20241.0,16.0,LIME,1,KOSPI,1.0,0.1,0.1,1.0,0.4,LIME,-
2023-07-26,229200,코스닥,6,14921.0,15.0,LIME,2,KOSPI,1.0,0.08,0.08,1.0,0.4,LIME,-
2023-07-27,EWZ,EWZ,1,28.036062240600582,15.0,LIME,2,NASDAQ,0.55,0.31,0.1705,1.0,0.4,LIME,-
2023-07-27,VNM,VNM,2,13.671648979187012,15.0,LIME,2,NASDAQ,0.55,0.25,0.1375,1.0,0.4,LIME,-
2023-07-27,449180,에센피,3,10771.0,14.75,GREEN,1,NASDAQ,0.55,0.16,0.088,1.0,0.4,LIME,-
2023-07-27,325020,케모멘,4,11659.0,15.0,LIME,1,KOSPI,1.0,0.1,0.1,1.0,0.4,LIME,-
